anon_polygon_id,date,crop_type,v3_prediction,v4_prediction,v7_prediction
AOI-0005,2010-05-02,озимая пшеница,0.24102128366472567,0.2418100131855279,0.24138432695220854
AOI-0005,2010-07-28,озимая пшеница,0.30951329078901296,0.3165588102736926,0.311832357439534
AOI-0005,2010-08-05,озимая пшеница,0.22676385520781092,0.2453502925055281,0.24877625225100922
AOI-0005,2010-08-29,озимая пшеница,0.28848854209737823,0.2878822812562885,0.28192016807674947
AOI-0005,2010-08-30,озимая пшеница,0.233662036514233,0.23696254820702845,0.23690922518914082
AOI-0005,2010-09-06,озимая пшеница,0.23945201021157891,0.24619581878268645,0.2475960526875247
AOI-0005,2011-04-02,озимая пшеница,0.2782684845869003,0.26879206418190876,0.2592859643892448
AOI-0005,2011-06-06,озимая пшеница,0.7642970495763426,0.7573777342143653,0.7583713329774094
AOI-0005,2011-06-26,озимая пшеница,0.5054222342773517,0.5158008933576922,0.5129353331380397
AOI-0005,2011-09-02,озимая пшеница,0.43064641702843653,0.4231562109442228,0.41959565338575655
AOI-0005,2012-04-04,озимая пшеница,0.23806066944269053,0.22964315426591742,0.22185095272066374
AOI-0005,2012-04-29,озимая пшеница,0.5571142825672332,0.5603193316112675,0.559618646514986
AOI-0005,2012-05-06,озимая пшеница,0.5888033407473299,0.5824795961204159,0.5792925109054303
AOI-0005,2012-05-31,озимая пшеница,0.8078798131315619,0.7937307512781905,0.7898618678124207
AOI-0005,2012-08-10,озимая пшеница,0.18318898974277312,0.18405737834275399,0.18591348329045404
AOI-0005,2012-08-12,озимая пшеница,0.27784475821276183,0.29201539042547203,0.298275905844281
AOI-0005,2013-06-26,озимая пшеница,0.37011341686426197,0.3766902015242056,0.36508869899776236
AOI-0005,2013-07-12,озимая пшеница,0.3404176559408299,0.3418481444683307,0.33153114894730823
AOI-0005,2013-08-21,озимая пшеница,0.46477617352385187,0.455246508652254,0.4569469270880898
AOI-0005,2013-08-29,озимая пшеница,0.48348019092360667,0.4723819110263544,0.47197563674393245
AOI-0005,2014-04-18,озимая пшеница,0.4117059141693072,0.4110886776418739,0.4105712540399013
AOI-0005,2014-04-27,озимая пшеница,0.5931944825005989,0.593460166791928,0.5971675878598407
AOI-0005,2014-05-04,озимая пшеница,0.6853665020009437,0.6887969759486986,0.6926703255649456
AOI-0005,2014-05-09,озимая пшеница,0.7598877908461826,0.7722114164372605,0.7755848142725399
AOI-0005,2014-06-10,озимая пшеница,0.6790964724945189,0.6820912046617605,0.6806642702415736
AOI-0005,2014-07-28,озимая пшеница,0.47199545537580945,0.46681269376816376,0.46513015662546026
AOI-0005,2014-10-03,озимая пшеница,0.23997860833240658,0.24004492811057396,0.24090119426542406
AOI-0005,2015-05-23,озимая пшеница,0.7416269898583794,0.7358966663629684,0.7335575411051747
AOI-0005,2015-06-10,озимая пшеница,0.7708439260949115,0.7733727468430502,0.7706143654261477
AOI-0005,2015-10-06,озимая пшеница,0.20091230779709804,0.1921893533634267,0.18960622232100818
AOI-0005,2016-04-22,озимая пшеница,0.6434036372966677,0.6620263200501517,0.6789834178148066
AOI-0005,2016-05-08,озимая пшеница,0.7806388555619329,0.7912537585732997,0.7923914812907772
AOI-0005,2016-09-13,озимая пшеница,0.37832792240135715,0.3749500793334724,0.3730733167545508
AOI-0005,2017-04-11,озимая пшеница,0.21306586183600681,0.2007745369091342,0.1956756626760551
AOI-0005,2017-04-23,озимая пшеница,0.49546596698917433,0.514050680049627,0.5173767626534
AOI-0005,2017-04-26,озимая пшеница,0.3583618031995502,0.37134328990445925,0.369383561807022
AOI-0005,2017-07-23,озимая пшеница,0.5502660199719941,0.5516436205064482,0.5555298835554826
AOI-0005,2017-09-25,озимая пшеница,0.5100892526642505,0.4977777070102898,0.5013597547585955
AOI-0005,2017-10-04,озимая пшеница,0.4465183169792108,0.4348916792654091,0.4418100141610606
AOI-0005,2018-05-01,озимая пшеница,0.6074904039638015,0.6117884157572953,0.6124391572927326
AOI-0005,2018-05-16,озимая пшеница,0.7173200764624809,0.7070408093138218,0.7060609442825584
AOI-0005,2018-06-01,озимая пшеница,0.6751184119711157,0.668710016152818,0.6689290964053871
AOI-0005,2018-07-10,озимая пшеница,0.41040426737344077,0.4111984811708509,0.41149299351005747
AOI-0005,2018-08-27,озимая пшеница,0.4124157126041137,0.41153305952357294,0.41396934980050404
AOI-0005,2018-09-30,озимая пшеница,0.3744338627365951,0.3737277121598063,0.3733634604612076
AOI-0005,2019-04-26,озимая пшеница,0.6362634526628139,0.639022790781199,0.6405388211216778
AOI-0005,2019-05-11,озимая пшеница,0.7708254784276939,0.7587539995997754,0.7484428550628086
AOI-0005,2019-05-18,озимая пшеница,0.8307472291612467,0.8236275743278664,0.8198740824529563
AOI-0005,2019-05-21,озимая пшеница,0.8066821524278942,0.8027526549384842,0.8034332844221169
AOI-0005,2019-06-11,озимая пшеница,0.7376433753730645,0.7319987054328987,0.7305267268894408
AOI-0005,2019-06-25,озимая пшеница,0.5341659179952178,0.5304779732659265,0.5355041125792085
AOI-0005,2019-07-12,озимая пшеница,0.4689864785164332,0.4556374455876616,0.45313753357422976
AOI-0005,2019-08-23,озимая пшеница,0.36141991713234894,0.35435357847102766,0.35245499597927654
AOI-0005,2019-08-24,озимая пшеница,0.33788969269457625,0.34051627576792526,0.34176619292012667
AOI-0005,2019-09-03,озимая пшеница,0.32793876944290434,0.3348559217753168,0.33973209246583763
AOI-0005,2019-09-07,озимая пшеница,0.36732910222696874,0.36727798556505764,0.3756817626133531
AOI-0005,2019-09-08,озимая пшеница,0.3439759213988511,0.34588809207106513,0.34957460794937256
AOI-0005,2019-09-15,озимая пшеница,0.2683169861649139,0.28377805290292635,0.28770035556944
AOI-0005,2020-04-22,озимая пшеница,0.3871117506975254,0.39843379525737427,0.3969062830868376
AOI-0005,2020-05-08,озимая пшеница,0.6742841976553565,0.6860978884044643,0.6988380995853273
AOI-0005,2020-08-16,озимая пшеница,0.4983182619482296,0.495526956547591,0.4998537166237445
AOI-0005,2020-08-23,озимая пшеница,0.42048691188751475,0.4184650667442266,0.4200787011314957
AOI-0005,2020-08-24,озимая пшеница,0.4323967201574867,0.4308952210433607,0.43521258017847353
AOI-0005,2020-09-02,озимая пшеница,0.3534806118043907,0.35746294053458466,0.3618997165867738
AOI-0005,2020-09-17,озимая пшеница,0.2827288085516111,0.2901473811733612,0.2985505963505103
AOI-0005,2020-09-29,озимая пшеница,0.29698761180114136,0.2907388144347618,0.2955993609872213
AOI-0005,2021-04-21,озимая пшеница,0.4608209191198969,0.46085026603819274,0.4644340675250654
AOI-0005,2021-07-12,озимая пшеница,0.5043934750725128,0.4978498863606447,0.4978077950020688
AOI-0005,2021-08-29,озимая пшеница,0.4151362743889712,0.4238272489357183,0.4244967777931234
AOI-0005,2021-09-04,озимая пшеница,0.2886473604814724,0.29732265417772963,0.3044319346932001
AOI-0005,2021-09-30,озимая пшеница,0.38255948669495066,0.3883725583940566,0.39070103839404874
AOI-0005,2021-10-14,озимая пшеница,0.2732105063003518,0.2896005912077669,0.30219226618428824
AOI-0005,2022-05-09,озимая пшеница,0.7892313384981651,0.7980994317626197,0.8009043627141769
AOI-0005,2022-05-30,озимая пшеница,0.8313108509898052,0.838358121361467,0.8408642148007924
AOI-0005,2022-07-19,озимая пшеница,0.4499360116153526,0.4586332209349964,0.46563756209106827
AOI-0005,2022-07-21,озимая пшеница,0.44531747115573217,0.43694982940616117,0.4381662268343428
AOI-0005,2022-07-28,озимая пшеница,0.5071099787835781,0.5027101258869495,0.5028151647057062
AOI-0005,2022-08-03,озимая пшеница,0.42807565344392434,0.4213264749971019,0.419061261294109
AOI-0005,2022-08-14,озимая пшеница,0.4907814042288612,0.49506919405206545,0.5046719366971945
AOI-0005,2022-08-28,озимая пшеница,0.3904756327029319,0.3949362015347022,0.3956668841900986
AOI-0005,2022-10-01,озимая пшеница,0.38987263087043883,0.39791448029865817,0.4071313778814704
AOI-0005,2023-07-14,озимая пшеница,0.5908349132382892,0.5767562265667113,0.5735229340287145
AOI-0005,2023-07-29,озимая пшеница,0.5223150137998457,0.5267785245380696,0.5290599384302948
AOI-0005,2023-08-08,озимая пшеница,0.49750129548926253,0.5050206682386914,0.5115984327813056
AOI-0005,2023-08-29,озимая пшеница,0.4483659345088114,0.45053025644022465,0.4472424191654032
