anon_polygon_id,calibration_rows,local_blend_weight,mean_abs_raw_correction,status
AOI-0001,372,0.33,0.029062233394879705,adapted
AOI-0002,28,0.07,0.05090444795461976,adapted
AOI-0003,44,0.11,0.028925401095864983,adapted
AOI-0004,28,0.07,0.04119231843525549,adapted
AOI-0005,32,0.08,0.04474744000242031,adapted
AOI-0006,32,0.08,0.07030257419513847,adapted
AOI-0007,44,0.11,0.03495188332629207,adapted
AOI-0008,40,0.1,0.04182360996111965,adapted
AOI-0009,44,0.11,0.0244133685984732,adapted
AOI-0010,396,0.33,0.018884247598036075,adapted
AOI-0011,44,0.11,0.035266192280866464,adapted
AOI-0012,40,0.1,0.03387700168407776,adapted
AOI-0013,496,0.33,0.026933560400175808,adapted
AOI-0014,512,0.33,0.016357301070270905,adapted
AOI-0015,44,0.11,0.03319808368754042,adapted
AOI-0016,44,0.11,0.03418427219973221,adapted
AOI-0017,496,0.33,0.03271550931438971,adapted
AOI-0018,44,0.11,0.028181763587994617,adapted
AOI-0019,44,0.11,0.04727402643883564,adapted
AOI-0020,44,0.11,0.021937447623717434,adapted
AOI-0021,44,0.11,0.03208149808502146,adapted
AOI-0022,44,0.11,0.021401597922908806,adapted
AOI-0023,44,0.11,0.029846818282510235,adapted
AOI-0024,44,0.11,0.03978065870663956,adapted
AOI-0025,24,0.06,0.03967047791196244,adapted
AOI-0026,32,0.08,0.0413911055592398,adapted
AOI-0027,24,0.06,0.056022390508639885,adapted
AOI-0028,332,0.33,0.022381485284622665,adapted
AOI-0029,32,0.08,0.03766463173947573,adapted
AOI-0030,32,0.08,0.046575504597366764,adapted
AOI-0031,524,0.33,0.017569529816790535,adapted
AOI-0032,492,0.33,0.00963868176911876,adapted
AOI-0033,44,0.11,0.03715913161224044,adapted
AOI-0034,40,0.1,0.023882761947794522,adapted
AOI-0035,44,0.11,0.027975803703736132,adapted
AOI-0036,48,0.12,0.01746484255602374,adapted
AOI-0037,40,0.1,0.01317749142778354,adapted
AOI-0038,44,0.11,0.020590554502857163,adapted
AOI-0039,44,0.11,0.02735454619270887,adapted
AOI-0040,44,0.11,0.01982529055783621,adapted
AOI-0041,48,0.12,0.020397965181847885,adapted
AOI-0042,44,0.11,0.015756088629940233,adapted
AOI-0043,48,0.12,0.024496339567536156,adapted
AOI-0044,456,0.33,0.009110985812826013,adapted
AOI-0045,40,0.1,0.019755523874361875,adapted
AOI-0046,444,0.33,0.017856505915545304,adapted
AOI-0047,48,0.12,0.011971156826023071,adapted
AOI-0048,44,0.11,0.038294910973356765,adapted
AOI-0049,32,0.08,0.01870182824695458,adapted
AOI-0050,32,0.08,0.03980562371321588,adapted
AOI-0051,412,0.33,0.02591284793554033,adapted
AOI-0052,36,0.09,0.039693695351088146,adapted
AOI-0053,28,0.07,0.040580462859381675,adapted
AOI-0054,32,0.08,0.08212133944736955,adapted
AOI-0055,32,0.08,0.03401918771648139,adapted
AOI-0056,32,0.08,0.021052259173900224,adapted
AOI-0057,32,0.08,0.036228176482808024,adapted
AOI-0058,416,0.33,0.023499405323456308,adapted
AOI-0059,416,0.33,0.027862092902741574,adapted
AOI-0060,32,0.08,0.04003661438084034,adapted
AOI-0061,432,0.33,0.01670360992406769,adapted
AOI-0062,412,0.33,0.020124254428679808,adapted
AOI-0063,40,0.1,0.04744455165284234,adapted
AOI-0064,40,0.1,0.061538522765466036,adapted
AOI-0065,40,0.1,0.025216831565762442,adapted
AOI-0066,48,0.12,0.018625002032496802,adapted
AOI-0067,428,0.33,0.011047384857537411,adapted
AOI-0068,464,0.33,0.012199912768235935,adapted
AOI-0069,36,0.09,0.018385578757243164,adapted
AOI-0070,40,0.1,0.01128091586035528,adapted
AOI-0071,32,0.08,0.04411396556948127,adapted
AOI-0072,36,0.09,0.017294334640840722,adapted
AOI-0073,400,0.33,0.012034139066766465,adapted
AOI-0074,392,0.33,0.020061794320711555,adapted
AOI-0075,40,0.1,0.03820764695069506,adapted
AOI-0076,36,0.09,0.021424280988987705,adapted
AOI-0077,36,0.09,0.044781112371233944,adapted
AOI-0078,36,0.09,0.06140633051881261,adapted
